"id","label","entity_type","openatlas_class","tradition","tradition_context","date","prg_number","alt_id","source_xml","description"
"PRG-184","Benedictio panis et salis ad salutem hominum et","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CLXXXIV","(PRG n. CLXXXIV; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 803)","CARo - Pontifical Romano-Germanique.XML","Benedictio panis et salis ad salutem hominum et (PRG-184)"
"PRG-185","Exorcismus salis et aquae contra fulgoral.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CLXXXV","(PRG n. CLXXXV; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 803)","CARo - Pontifical Romano-Germanique.XML","Exorcismus salis et aquae contra fulgoral. (PRG-185)"
"PRG-187","Contra grandines.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CLXXXVII","(PRG n. CLXXXVII; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 805)","CARo - Pontifical Romano-Germanique.XML","Contra grandines. (PRG-187)"
"PRG-188","Benedictio aquae cnm ligno sanctae crucis.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CLXXXVIII","(PRG n. CLXXXVIII; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 805)","CARo - Pontifical Romano-Germanique.XML","Benedictio aquae cnm ligno sanctae crucis. (PRG-188)"
"PRG-189","Oratio ad visitandos fratres.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CLXXXIX","(PRG n. CLXXXIX; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 806)","CARo - Pontifical Romano-Germanique.XML","Oratio ad visitandos fratres. (PRG-189)"
"PRG-190","Benedictio domus.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CXC","(PRG n. CXC; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 806)","CARo - Pontifical Romano-Germanique.XML","Benedictio domus. (PRG-190)"
"PRG-191","Item benedictio domus.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CXCI","(PRG n. CXCI; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 807)","CARo - Pontifical Romano-Germanique.XML","Item benedictio domus. (PRG-191)"
"PRG-192","Benedictio loci ubi iacueris.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CXCII","(PRG n. CXCII; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 807)","CARo - Pontifical Romano-Germanique.XML","Benedictio loci ubi iacueris. (PRG-192)"
"PRG-193","Oratio in domo ancillarum Dei.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CXCIII","(PRG n. CXCIII; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 808)","CARo - Pontifical Romano-Germanique.XML","Oratio in domo ancillarum Dei. (PRG-193)"
"PRG-195","In cymiterio.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CXCV","(PRG n. CXCV; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 808)","CARo - Pontifical Romano-Germanique.XML","In cymiterio. (PRG-195)"
