"subject","predicate","object","certainty","source"
"ms-ocf-xv-a","associated_source_actor","actor-gallica","probable","entity enrichment"
"ms-ocf-xv-a","has_reference","ref-ms-ocf-xv-a-digital","certain","digital_facsimile"
"ms-ocf-xv-a","cited_by","ref-ms-ocf-xv-a-bib-1","certain","bibliography"
"ms-ocf-xv-a","cited_by","ref-ms-ocf-xv-a-bib-2","certain","edition_or_catalogue"
"ms-ocf-xv-b","associated_with","actor-bnf","probable","entity enrichment"
"ms-ocf-xv-b","associated_with","actor-cambrai-church","probable","entity enrichment"
"ms-ocf-xv-b","edited_or_studied_by","actor-victor-leroquais","probable","entity enrichment"
"ms-ocf-xv-b","associated_source_actor","actor-gallica","probable","entity enrichment"
"ms-ocf-xv-b","edited_or_studied_by","actor-leopold-delisle","probable","entity enrichment"
"ms-ocf-xv-b","has_reference","ref-ms-ocf-xv-b-digital","certain","digital_facsimile"
"ms-ocf-xv-b","cited_by","ref-ms-ocf-xv-b-bib-1","certain","edition_or_catalogue"
"ms-ocf-xv-c","associated_with","actor-bnf","probable","entity enrichment"
"ms-ocf-xv-c","edited_or_studied_by","actor-elizabeth-brown","probable","entity enrichment"
"ms-ocf-xv-c","edited_or_studied_by","actor-victor-leroquais","probable","entity enrichment"
"ms-ocf-xv-c","edited_or_studied_by","actor-leopold-delisle","probable","entity enrichment"
"ms-ocf-xv-c","has_reference","ref-ms-ocf-xv-c-digital","certain","digital_facsimile"
"ms-ocf-xv-c","cited_by","ref-ms-ocf-xv-c-bib-1","certain","bibliography"
"ms-ocf-xv-d","associated_with","actor-bnf","probable","entity enrichment"
"ms-ocf-xv-d","associated_with","actor-saint-germain-des-pres","probable","entity enrichment"
"ms-ocf-xv-d","edited_or_studied_by","actor-victor-leroquais","probable","entity enrichment"
"ms-ocf-xv-d","associated_source_actor","actor-gallica","probable","entity enrichment"
"ms-ocf-xv-d","edited_or_studied_by","actor-leopold-delisle","probable","entity enrichment"
"ms-ocf-xv-d","has_reference","ref-ms-ocf-xv-d-digital","certain","digital_facsimile"
"ms-ocf-xv-d","cited_by","ref-ms-ocf-xv-d-bib-1","certain","edition_or_catalogue"
"ms-ocf-xv-e","associated_with","actor-bnf","probable","entity enrichment"
"ms-ocf-xv-e","associated_with","actor-chartres-cathedral","probable","entity enrichment"
"ms-ocf-xv-e","edited_or_studied_by","actor-victor-leroquais","probable","entity enrichment"
"ms-ocf-xv-e","associated_source_actor","actor-gallica","probable","entity enrichment"
"ms-ocf-xv-e","edited_or_studied_by","actor-leopold-delisle","probable","entity enrichment"
"ms-ocf-xv-e","has_reference","ref-ms-ocf-xv-e-digital","certain","digital_facsimile"
"ms-ocf-xv-e","cited_by","ref-ms-ocf-xv-e-bib-1","certain","edition_or_catalogue"
"ms-ocf-xv-f","associated_with","actor-bnf","probable","entity enrichment"
"ms-ocf-xv-f","associated_with","actor-saint-amand","probable","entity enrichment"
"ms-ocf-xv-f","associated_with","actor-saint-martin-tournai","probable","entity enrichment"
"ms-ocf-xv-f","edited_or_studied_by","actor-victor-leroquais","probable","entity enrichment"
"ms-ocf-xv-f","associated_source_actor","actor-usuarium","probable","entity enrichment"
"ms-ocf-xv-f","edited_or_studied_by","actor-leopold-delisle","probable","entity enrichment"
"ms-ocf-xv-f","has_reference","ref-ms-ocf-xv-f-digital","certain","digital_facsimile"
"ms-ocf-xv-f","cited_by","ref-ms-ocf-xv-f-bib-1","certain","edition_or_catalogue"
"ms-ocf-xv-g","associated_with","actor-reims-cathedral","probable","entity enrichment"
"ms-ocf-xv-g","edited_or_studied_by","actor-victor-leroquais","probable","entity enrichment"
"ms-ocf-xv-g","associated_source_actor","actor-biblissima","probable","entity enrichment"
"ms-ocf-xv-g","associated_source_actor","actor-iiif","probable","entity enrichment"
"ms-ocf-xv-g","edited_or_studied_by","actor-leopold-delisle","probable","entity enrichment"
"ms-ocf-xv-g","has_reference","ref-ms-ocf-xv-g-digital","certain","iiif_manifest"
"ms-ocf-xv-g","cited_by","ref-ms-ocf-xv-g-bib-1","certain","edition_or_catalogue"
"ms-ocf-xv-h","associated_with","actor-sens-cathedral","probable","entity enrichment"
"ms-ocf-xv-h","edited_or_studied_by","actor-victor-leroquais","probable","entity enrichment"
"ms-ocf-xv-h","associated_source_actor","actor-biblissima","probable","entity enrichment"
